,country,loggdppc,britcol,dem,cpi,stab,fp
37,Colombia,8.738735,0,9.966666,3.7833333,-1.7809279,41.333332
38,Comoros,6.60123,0,7.7999997,2.375,-0.60958123,50.5
39,"Congo, Dem. Rep.",5.293305,0,12.083333,1.9333333,-2.1556964,29.0
40,"Congo, Rep. (Brazzaville)",7.9963174,0,5.1,2.0833333,-0.65596217,37.833332
41,Costa Rica,8.958025,0,19.883333,4.8333335,0.62950075,81.166664
42,Cote d'Ivoire,7.056175,0,2.4833333,2.0666666,-1.8308123,33.333332
43,Croatia,9.532424,0,25.916666,3.9166667,0.54946375,61.5
45,Cyprus,10.26813,1,37.983334,5.9833336,0.4763526,78.0
46,Czech Republic,9.841612,0,33.266666,4.8333335,0.96914023,81.5
47,Denmark,10.93845,0,44.433334,9.383333,1.0351881,89.0
49,Dominica,8.847935,0,18.566668,5.44,0.88174707,78.5
50,Dominican Republic,8.556414,0,18.9,2.9666667,-0.06145625,60.833332
51,Ecuador,8.296547,0,21.216667,2.2666667,-0.74308974,55.666668
52,"Egypt, Arab Rep.",7.901007,1,1.8,3.05,-0.7129794,38.833332
53,El Salvador,8.149024,0,17.8,3.85,-0.01043249,57.666668
54,Equatorial Guinea,9.937889,0,5.15,1.8833333,0.10138926,10.666667
55,Eritrea,5.9989367,0,0.0,2.6833334,-0.82877916,6.5
56,Estonia,9.546813,0,27.966667,6.55,0.6226793,83.666664
57,Ethiopia,5.880533,0,10.333334,2.5,-1.732557,23.333334
58,Fiji,8.213382,1,4.4500003,4.0,0.013775584,57.5
59,Finland,10.694215,0,37.333332,9.283333,1.4685619,90.5
60,France,10.576432,0,28.55,7.133333,0.5331367,78.0
61,Gabon,9.079092,0,6.116667,3.0,0.18205817,31.0
62,"Gambia, The",6.410175,1,4.583333,2.5833333,0.08075374,21.666666
63,Georgia,7.8671055,0,10.433333,3.3833332,-0.80138713,42.0
64,Germany,10.594131,0,36.266666,7.9666667,0.9210505,83.666664
65,Ghana,7.185387,1,18.900002,3.7333333,0.051593192,73.5
66,Greece,10.181119,0,37.2,4.2166667,0.25862142,72.0
67,Grenada,8.922658,1,21.616667,3.5,0.48075852,76.333336
68,Guatemala,7.962067,0,9.433333,2.9333334,-0.7836899,41.0
69,Guinea,6.161207,0,5.45,1.84,-1.8926153,34.0
70,Guinea-Bissau,6.3117347,0,14.066667,2.025,-0.55735934,48.166668
71,Guyana,8.003029,1,19.1,2.5833333,-0.57876307,70.5
72,Haiti,6.498282,0,9.416667,1.7666667,-1.3011575,44.333332
73,Honduras,7.6108527,0,12.466666,2.5166667,-0.53243774,45.666668
75,Hungary,9.464983,0,27.183334,5.0666666,0.77331346,77.166664
76,Iceland,10.584056,0,40.7,9.1,1.2929285,90.333336
77,India,7.229839,1,25.066668,3.3,-1.1670431,64.833336
78,Indonesia,7.9895606,0,28.4,2.5166667,-1.1190366,45.833332
80,Iraq,7.8359747,0,8.883333,1.65,-2.550327,31.666666
81,Ireland,10.7342205,0,31.466667,7.6666665,1.1462957,84.666664
82,Israel,10.257659,0,32.433334,6.0833335,-1.4427611,71.0
84,Italy,10.428216,0,34.416664,4.6833334,0.48287162,68.0
85,Jamaica,8.542861,1,14.3,3.3333333,-0.31688428,84.0
86,Japan,10.671278,0,32.76,7.5333333,0.9494547,79.166664
87,Jordan,8.382518,1,0.68333334,5.083333,-0.3666343,37.5
88,Kazakhstan,9.112727,0,4.0,2.5166667,0.44612238,22.5
89,Kenya,6.6783423,1,12.983334,2.1333332,-1.2698727,42.0
90,Kiribati,7.3264656,0,10.933333,3.1,1.4167657,73.166664
92,"Korea, Rep. (South)",9.92818,0,23.65,5.2833333,0.27192646,70.166664
93,Kuwait,10.723268,1,1.2833333,4.45,0.38059747,44.5
